Player,Nation,Pos,Squad,Comp,Age,MP,Min,TklW,Int,Clr,Blocks,Carries,PrgDist,FinalThird,Ast,KP,CrsPA
Stefan Posch,at AUT,DF,Mainz 05,de Bundesliga,28-364,15,1350,22,20,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kacper Potulski,pl POL,DF,Mainz 05,de Bundesliga,18-206,14,975,13,19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Marc Pubill,es ESP,DF,Atlético Madrid,es La Liga,22-327,17,1246,13,17,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Aleksa Puric,rs SRB,DF,Atlético Madrid,es La Liga,22-310,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jarell Quansah,eng ENG,DF,Leverkusen,de Bundesliga,23-104,27,2209,21,24,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Leopold Querfeld,at AUT,DF,Union Berlin,de Bundesliga,22-144,30,2700,27,35,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Uroš Radaković,rs SRB,DF,Nantes,fr Ligue 1,32-043,6,101,2,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Antonio Raillo,es ESP,DF,Mallorca,es La Liga,34-217,23,2032,13,12,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Jacobo Ramón,es ESP,DF,Como,it Serie A,21-127,30,2562,31,34,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Guilherme Ramos,pt POR,DF,Hamburger SV,de Bundesliga,28-275,8,48,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,27-020,33,2395,24,24,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lilian Raolisoa,fr FRA,"MF,DF",Angers,fr Ligue 1,25-331,31,1876,29,13,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Othniel Raterink,nl NED,DF,Cagliari,it Serie A,20-036,1,7,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Andrei Ratiu,ro ROU,DF,Rayo Vallecano,es La Liga,27-327,32,2696,40,39,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
David Raum,de GER,DF,RB Leipzig,de Bundesliga,28-021,30,2553,35,33,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
Abde Rebbach,dz ALG,"MF,DF",Alavés,es La Liga,27-275,27,1271,16,14,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Luca Reggiani,it ITA,DF,Dortmund,de Bundesliga,18-124,7,421,10,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Vitor Reis,br BRA,DF,Girona,es La Liga,20-121,33,2868,30,33,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Chadi Riad,ma MAR,DF,Crystal Palace,eng Premier League,22-330,7,389,3,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,26-277,9,509,9,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Chris Richards,us USA,DF,Crystal Palace,eng Premier League,26-046,31,2707,33,42,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Diego Rico,es ESP,DF,Getafe,es La Liga,33-079,28,1758,29,33,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Clemens Riedel,de GER,DF,Espanyol,es La Liga,22-298,18,1216,13,10,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Hugo Rincón,es ESP,DF,Girona,es La Liga,23-106,32,1717,31,5,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Mihailo Ristić,rs SRB,"MF,DF",Celta Vigo,es La Liga,30-194,5,253,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lars Ritzka,de GER,"MF,DF",St Pauli,de Bundesliga,28-006,21,966,26,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,32-063,23,1094,10,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Antonee Robinson,us USA,"DF,MF",Fulham,eng Premier League,28-278,20,1312,27,23,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kaden Rodney,eng ENG,"DF,MF",Crystal Palace,eng Premier League,21-218,1,4,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Joe Rodon,wls WAL,DF,Leeds United,eng Premier League,28-203,33,2771,18,29,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Javi Rodríguez,es ESP,DF,Celta Vigo,es La Liga,22-321,31,2378,22,26,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Juan Rodríguez,uy URU,DF,Cagliari,it Serie A,20-348,15,1240,26,17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ricardo Rodríguez,ch SUI,DF,Real Betis,es La Liga,33-261,22,1457,12,8,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Filippo Romagna,it ITA,DF,Sassuolo,it Serie A,28-352,5,313,1,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,31-121,31,2576,14,31,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Carlos Romero,es ESP,DF,Espanyol,es La Liga,24-196,33,2921,56,35,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Cristian Romero,ar ARG,DF,Tottenham Hotspur,eng Premier League,28-016,23,1868,30,31,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Zaid Romero,ar ARG,DF,Getafe,es La Liga,26-149,12,1079,17,26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Pablo Rosario,do DOM,"DF,MF",Nice,fr Ligue 1,29-126,1,28,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Max Rosenfelder,de GER,DF,Freiburg,de Bundesliga,23-092,12,492,5,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Valentin Rosier,fr FRA,"DF,MF",Osasuna,es La Liga,29-267,29,2380,30,42,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Tom Rothe,de GER,"MF,DF",Union Berlin,de Bundesliga,21-196,20,939,13,19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Anthony Rouault,fr FRA,DF,Rennes,fr Ligue 1,24-349,20,1634,13,16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
James Rowswell,eng ENG,DF,Tottenham Hotspur,eng Premier League,19-304,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,32-078,19,1615,12,21,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Rubén,es ESP,"DF,MF",Espanyol,es La Liga,25-098,18,657,8,9,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,33-071,17,1400,4,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Daniele Rugani,it ITA,DF,Fiorentina,it Serie A,31-288,5,261,3,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Daniele Rugani,it ITA,DF,Juventus,it Serie A,31-288,6,250,3,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Matteo Ruggeri,it ITA,DF,Atlético Madrid,es La Liga,23-306,24,1639,22,19,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Aitor Ruibal,es ESP,"DF,MF",Real Betis,es La Liga,30-052,27,1808,32,20,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Stefano Sabelli,it ITA,"MF,DF",Genoa,it Serie A,33-120,15,854,14,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kike Salas,es ESP,DF,Sevilla,es La Liga,24-020,23,1933,28,35,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
William Saliba,fr FRA,DF,Arsenal,eng Premier League,25-050,30,2524,23,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
José Salinas,es ESP,DF,Espanyol,es La Liga,25-225,11,257,2,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mohammed Salisu,gh GHA,DF,Monaco,fr Ligue 1,27-026,12,1080,11,19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Antonio Sánchez,es ESP,"MF,DF",Mallorca,es La Liga,29-132,28,1019,11,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Juanlu Sánchez,es ESP,"MF,DF",Sevilla,es La Liga,22-271,30,1945,42,11,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Manu Sánchez,es ESP,DF,Levante,es La Liga,25-262,31,2634,49,34,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Philipp Sander,de GER,"DF,MF",Gladbach,de Bundesliga,28-081,29,2360,40,48,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Sadibou Sané,sn SEN,DF,Metz,fr Ligue 1,21-337,22,1850,33,39,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Arouna Sangante,sn SEN,DF,Le Havre,fr Ligue 1,24-031,27,2235,25,35,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Buba Sangaré,es ESP,"DF,MF",Elche,es La Liga,18-280,10,487,12,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nhoa Sangui,fr FRA,DF,Paris FC,fr Ligue 1,20-075,26,1737,14,21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tiago Santos,pt POR,DF,Lille,fr Ligue 1,23-294,15,709,8,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Renzo Saravia,ar ARG,DF,Valencia,es La Liga,32-331,4,320,5,6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Bouna Sarr,sn SEN,"MF,DF",Metz,fr Ligue 1,34-102,11,805,10,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Malang Sarr,fr FRA,DF,Lens,fr Ligue 1,27-110,31,2790,42,73,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Mamadou Sarr,sn SEN,DF,Strasbourg,fr Ligue 1,20-257,15,1305,13,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Mamadou Sarr,sn SEN,DF,Chelsea,eng Premier League,20-257,2,92,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nicolò Savona,it ITA,DF,Nottingham Forest,eng Premier League,23-055,14,1028,12,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Joe Scally,us USA,"MF,DF",Gladbach,de Bundesliga,23-133,31,2518,25,18,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Giorgio Scalvini,it ITA,DF,Atalanta,it Serie A,22-153,22,1652,20,38,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Oliver Scarles,eng ENG,"DF,MF",West Ham United,eng Premier League,20-152,13,659,19,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Fabian Schär,ch SUI,DF,Newcastle United,eng Premier League,34-144,16,1091,9,16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Keven Schlotterbeck,de GER,DF,Augsburg,de Bundesliga,29-015,24,2031,25,33,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,26-163,27,2430,35,23,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Joël Schmied,ch SUI,DF,Köln,de Bundesliga,27-232,15,1033,9,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Sebastian Sebulonsen,no NOR,"DF,MF",Köln,de Bundesliga,26-106,30,2408,26,17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jenson Seelt,nl NED,DF,Wolfsburg,de Bundesliga,22-355,9,681,9,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jenson Seelt,nl NED,DF,Sunderland,eng Premier League,22-355,2,134,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,25-343,21,1186,22,17,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Ayumu Seko,jp JPN,"MF,DF",Le Havre,fr Ligue 1,25-340,30,2625,24,35,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Marvin Senaya,gh GHA,"DF,MF",Auxerre,fr Ligue 1,25-105,24,1771,31,34,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,29-003,35,3108,31,49,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Ryan Sessegnon,eng ENG,"DF,MF",Fulham,eng Premier League,25-360,27,1823,29,23,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,30-305,36,3048,43,40,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Djibril Sidibé,fr FRA,"MF,DF",Toulouse,fr Ligue 1,33-288,32,2141,32,18,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Jamil Siebert,de GER,DF,Lecce,it Serie A,24-041,19,1521,15,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Francisco Sierralta,cl CHI,DF,Auxerre,fr Ligue 1,29-007,10,861,6,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,26-065,15,1081,16,21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Caio Henrique Oliveira Silva,br BRA,"DF,MF",Monaco,fr Ligue 1,28-286,22,1536,11,12,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Jahmai Simpson-Pusey,eng ENG,DF,Köln,de Bundesliga,20-190,10,773,7,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dan Sinaté,fr FRA,DF,Angers,fr Ligue 1,19-338,3,33,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ibrahima Sissoko,ml MLI,"MF,DF",Nantes,fr Ligue 1,28-198,13,803,7,16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Telli Siwe,fr FRA,DF,Auxerre,fr Ligue 1,21-150,3,225,3,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ellyes Skhiri,tn TUN,"MF,DF",Eintracht Frankfurt,de Bundesliga,31-003,24,1354,7,24,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Leo Skiri Østigård,no NOR,DF,Genoa,it Serie A,26-166,30,2622,27,30,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Robert Skov,dk DEN,"DF,MF",Union Berlin,de Bundesliga,29-358,3,220,5,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tobias Slotsager,dk DEN,DF,Hellas Verona,it Serie A,20-132,8,446,7,3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,35-014,20,899,11,7,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Eric Smith,se SWE,"DF,MF",St Pauli,de Bundesliga,29-125,27,2311,23,24,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Ivan Smolčić,hr CRO,DF,Como,it Serie A,25-269,26,1552,24,23,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Alex Sola,es ESP,"DF,FW",Getafe,es La Liga,26-338,1,13,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Julio Soler,ar ARG,DF,Bournemouth,eng Premier League,21-086,3,35,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Oumar Solet,fr FRA,DF,Udinese,it Serie A,26-095,33,2779,53,41,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Oliver Sonne,pe PER,DF,Burnley,eng Premier League,25-184,7,169,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Borna Sosa,hr CRO,"DF,MF",Crystal Palace,eng Premier League,28-112,7,101,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Aboubaka Soumahoro,fr FRA,"MF,DF",Hamburger SV,de Bundesliga,21-098,4,136,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Djed Spence,eng ENG,"DF,MF",Tottenham Hotspur,eng Premier League,25-277,28,1943,24,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Leonardo Spinazzola,it ITA,"MF,DF",Napoli,it Serie A,33-049,31,1823,9,4,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,26-041,25,1812,20,18,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Carl Starfelt,se SWE,DF,Celta Vigo,es La Liga,30-346,19,1491,16,16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,31-029,14,697,12,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Leonidas Stergiou,ch SUI,DF,Heidenheim,de Bundesliga,24-071,5,206,3,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Leonidas Stergiou,ch SUI,DF,Stuttgart,de Bundesliga,24-071,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Finley Stevens,wls WAL,DF,St Pauli,de Bundesliga,23-033,1,27,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
John Stones,eng ENG,DF,Manchester City,eng Premier League,31-350,7,353,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Pascal Struijk,nl NED,DF,Leeds United,eng Premier League,26-275,33,2846,22,30,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Gabriel Suazo,cl CHI,"DF,MF",Sevilla,es La Liga,28-277,26,1826,61,24,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Yukinari Sugawara,jp JPN,"DF,MF",Werder Bremen,de Bundesliga,25-319,31,2428,22,15,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
Niklas Süle,de GER,DF,Dortmund,de Bundesliga,30-252,11,486,5,6,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Lamine Sy,mr MTN,DF,Auxerre,fr Ligue 1,23-276,23,1446,28,21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,23-139,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Abakar Sylla,ci CIV,DF,Nantes,fr Ligue 1,23-139,2,65,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dominik Szoboszlai,hu HUN,"MF,DF",Liverpool,eng Premier League,25-200,34,3051,32,28,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,33-255,20,1310,14,17,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Jonathan Tah,de GER,DF,Bayern Munich,de Bundesliga,30-091,27,1928,18,25,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Kōta Takai,jp JPN,DF,Gladbach,de Bundesliga,21-251,8,342,4,4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,27-352,28,2520,18,27,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Adrien Tameze,cm CMR,DF,Torino,it Serie A,32-098,24,1120,12,19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Axel Tapé,fr FRA,"MF,DF",Leverkusen,de Bundesliga,18-276,6,222,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,27-100,28,2485,14,20,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
James Tarkowski,eng ENG,DF,Everton,eng Premier League,33-175,35,3150,29,27,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
César Tárrega,es ESP,DF,Valencia,es La Liga,24-076,29,2328,21,21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Tylel Tati,fr FRA,DF,Nantes,fr Ligue 1,18-114,20,1721,13,14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nuno Tavares,pt POR,DF,Lazio,it Serie A,26-107,22,1383,20,17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jackson Tchatchoua,cm CMR,"MF,DF",Wolves,eng Premier League,24-241,31,1845,15,14,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Nahuel Tenaglia,ar ARG,DF,Alavés,es La Liga,30-081,33,2969,40,41,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Filippo Terracciano,it ITA,DF,Cremonese,it Serie A,23-094,34,2839,23,54,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Kenny Tete,nl NED,DF,Fulham,eng Premier League,30-216,22,1791,38,26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jordan Teze,nl NED,"MF,DF",Monaco,fr Ligue 1,26-225,32,2423,44,29,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Arthur Theate,be BEL,DF,Eintracht Frankfurt,de Bundesliga,25-353,24,2141,21,34,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Malick Thiaw,de GER,DF,Newcastle United,eng Premier League,24-278,33,2785,31,26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jurriën Timber,nl NED,DF,Arsenal,eng Premier League,24-330,30,2454,35,24,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Jean-Clair Todibo,fr FRA,DF,West Ham United,eng Premier League,26-134,22,1789,24,16,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Jeremy Toljan,de GER,DF,Levante,es La Liga,31-278,35,3052,38,31,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Fikayo Tomori,eng ENG,DF,Milan,it Serie A,28-145,31,2419,39,26,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Jofre Torrents,es ESP,DF,Barcelona,es La Liga,19-105,3,50,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Pau Torres,es ESP,DF,Aston Villa,eng Premier League,29-117,19,1568,13,11,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jordan Torunarigha,de GER,DF,Hamburger SV,de Bundesliga,28-279,23,1874,21,28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Ousmane Toure,fr FRA,DF,Lille,fr Ligue 1,21-084,1,51,0,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Souleymane Touré,fr FRA,DF,Lorient,fr Ligue 1,23-046,1,29,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lucas Tousart,fr FRA,"MF,DF",Brest,fr Ligue 1,29-014,22,753,11,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Hamari Traoré,ml MLI,DF,Paris FC,fr Ligue 1,34-106,17,1143,22,18,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Omar Traoré,de GER,"DF,MF",Heidenheim,de Bundesliga,28-098,25,1456,11,17,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Philipp Treu,de GER,"DF,MF",Freiburg,de Bundesliga,25-161,27,2096,24,6,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Christopher Trimmel,at AUT,"MF,DF",Union Berlin,de Bundesliga,39-078,28,1797,24,8,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Kieran Trippier,eng ENG,DF,Newcastle United,eng Premier League,35-236,20,1502,12,7,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Mariano Troilo,ar ARG,DF,Parma,it Serie A,22-325,19,1445,15,14,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Adrien Truffert,fr FRA,DF,Bournemouth,eng Premier League,24-174,36,3199,49,42,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Heorhii Tsitaishvili,ge GEO,"MF,DF",Metz,fr Ligue 1,25-176,33,2449,12,14,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Axel Tuanzebe,cd COD,DF,Burnley,eng Premier League,28-180,12,1021,7,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Destiny Udogie,it ITA,"DF,MF",Tottenham Hotspur,eng Premier League,23-166,18,1182,17,7,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Matthieu Udol,fr FRA,"MF,DF",Lens,fr Ligue 1,30-054,32,2867,20,48,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0
Lukas Ullrich,de GER,"DF,MF",Gladbach,de Bundesliga,22-058,22,1215,15,20,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Dayot Upamecano,fr FRA,DF,Bayern Munich,de Bundesliga,27-198,23,1704,24,20,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Jan Urbich,de GER,DF,Gladbach,de Bundesliga,21-324,3,39,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Josha Vagnoman,de GER,"DF,MF",Stuttgart,de Bundesliga,25-153,26,1569,19,3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0
Victor Valdepeñas,es ESP,DF,Real Madrid,es La Liga,19-205,1,77,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Lautaro Valenti,ar ARG,DF,Parma,it Serie A,27-119,25,2102,29,26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Nicolás Valentini,ar ARG,DF,Hellas Verona,it Serie A,25-037,19,1270,16,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Germán Valera,es ESP,"MF,DF",Elche,es La Liga,24-058,34,2678,37,21,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Emanuele Valeri,it ITA,"MF,DF",Parma,it Serie A,27-157,32,2548,31,20,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Martin Valjent,sk SVK,DF,Mallorca,es La Liga,30-153,34,3060,31,20,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Álex Valle,es ESP,DF,Como,it Serie A,22-018,28,2026,31,24,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0
Federico Valverde,uy URU,"MF,DF",Real Madrid,es La Liga,27-295,32,2650,25,23,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
Ignace Van Der Brempt,be BEL,"DF,MF",Como,it Serie A,24-042,18,846,9,8,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,34-309,36,3240,15,21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Vanderson,br BRA,"DF,MF",Monaco,fr Ligue 1,24-326,14,616,13,19,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0
Johan Vásquez,mx MEX,DF,Genoa,it Serie A,27-203,35,3125,37,46,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Denis Vavro,sk SVK,DF,Wolfsburg,de Bundesliga,30-033,16,1086,5,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
José Luis García Vayá,es ESP,"MF,DF",Valencia,es La Liga,27-275,28,2058,33,19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Jesus Vazquez,es ESP,"DF,MF",Valencia,es La Liga,23-131,21,777,8,2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Danilo Veiga,pt POR,DF,Lecce,it Serie A,23-230,34,2846,51,30,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
Renato Veiga,pt POR,DF,Villarreal,es La Liga,22-288,31,2391,8,26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
